id,price,accommodates,bedrooms,bathrooms,host_is_superhost,host_has_profile_pic
7717478,325.0,8,4.0,1.0,f,t
4653552,144.0,5,2.0,1.0,f,t
6915439,100.0,2,1.0,1.0,f,t
506542,115.0,4,0.0,1.0,f,t
4046863,55.0,2,1.0,2.0,t,t
3915826,95.0,3,1.0,1.0,t,t
4787415,175.0,4,3.0,2.0,f,t
1602488,95.0,4,1.0,1.0,f,t
8459215,100.0,2,1.0,1.0,f,t
10274175,46.0,2,1.0,1.0,f,t
9167786,50.0,2,1.0,1.0,f,t
5686435,445.0,6,3.0,2.5,f,t
7939058,75.0,2,1.0,1.0,f,t
8392801,100.0,4,2.0,1.0,f,t
7404370,130.0,2,1.0,1.0,f,t
3720511,235.0,5,3.0,3.0,f,t
8193332,100.0,4,1.0,1.0,f,t
7957904,120.0,2,1.0,1.0,f,t
4555997,80.0,4,0.0,1.0,f,t
2267088,110.0,5,2.0,1.0,t,t
108468,395.0,9,4.0,3.0,f,t
6400379,88.0,2,1.0,1.0,f,t
5948003,55.0,2,1.0,1.0,t,t
5058086,145.0,2,0.0,1.0,t,t
1209255,425.0,6,3.0,2.0,f,t
1914051,114.0,2,1.0,1.0,f,t
2923529,110.0,3,1.0,1.0,f,t
1027860,300.0,5,2.0,2.0,f,t
2373176,117.0,2,1.0,1.0,f,t
6404427,275.0,4,2.0,1.0,t,t
8517602,85.0,2,1.0,1.5,f,t
7035240,300.0,8,3.0,1.5,f,t
4583161,53.0,2,1.0,1.0,f,t
7967844,107.0,4,2.0,1.0,t,t
6562393,348.0,6,2.0,2.0,t,t
7807087,89.0,4,2.0,1.0,f,t
5405643,89.0,7,3.0,1.0,t,t
7011200,89.0,2,1.0,1.0,t,t
610989,209.0,2,1.0,1.0,f,t
7839535,76.0,2,1.0,1.0,f,t
4814894,74.0,4,2.0,1.0,f,t
186328,250.0,6,3.0,3.0,f,t
7492877,180.0,4,2.0,1.0,f,t
6576228,179.0,5,2.0,1.0,f,t
241016,115.0,4,2.0,1.0,f,t
6968101,140.0,5,2.0,1.0,f,t
5648564,150.0,4,2.0,1.5,f,t
4116645,70.0,3,1.0,1.0,f,t
2419879,300.0,6,3.0,2.0,f,t
6425735,99.0,1,1.0,1.0,f,t
8105351,89.0,4,2.0,1.0,f,t
9136499,100.0,1,1.0,1.0,f,t
3639023,84.0,2,1.0,1.5,f,t
6724599,97.0,3,1.0,1.0,f,t
4211629,116.0,4,2.0,1.0,t,t
7151924,150.0,2,1.0,1.0,t,t
704764,110.0,4,2.0,1.0,t,t
1796217,265.0,8,3.0,2.5,f,t
4661812,115.0,6,2.0,1.0,f,t
8811945,100.0,4,2.0,1.0,f,t
